JobID,RunID,Attempt,Status,Conclusion,JobName,StartedAt,CompletedAt,StepName,ExecutionTime,StatusEncoded,SuccessEncoded
29464563620,10628875155,1,completed,failure,"Build, Test and Deploy",2024-08-30 07:46:58,2024-08-30 07:47:31,build (golang),33.0,0,1
29464563893,10628875155,1,completed,failure,"Build, Test and Deploy",2024-08-30 07:46:59,2024-08-30 07:47:18,build (python),19.0,0,1
29464564110,10628875155,1,completed,failure,"Build, Test and Deploy",2024-08-30 07:46:58,2024-08-30 07:47:36,build (java),38.0,0,1
29463682885,10628574886,1,completed,success,"Build, Test and Deploy",2024-08-30 07:22:14,2024-08-30 07:22:41,build (golang),27.0,0,0
29463683126,10628574886,1,completed,success,"Build, Test and Deploy",2024-08-30 07:22:14,2024-08-30 07:22:47,build (python),33.0,0,0
29463683368,10628574886,1,completed,success,"Build, Test and Deploy",2024-08-30 07:22:13,2024-08-30 07:24:01,build (java),108.0,0,0
29462054079,10628002320,1,completed,success,"Build, Test and Deploy",2024-08-30 06:32:49,2024-08-30 06:33:26,build (golang),37.0,0,0
29462054273,10628002320,1,completed,success,"Build, Test and Deploy",2024-08-30 06:32:49,2024-08-30 06:33:34,build (python),45.0,0,0
29462054454,10628002320,1,completed,success,"Build, Test and Deploy",2024-08-30 06:32:49,2024-08-30 06:34:45,build (java),116.0,0,0
29460339223,10627355233,1,completed,success,"Build, Test and Deploy",2024-08-30 05:27:31,2024-08-30 05:28:05,build (golang),34.0,0,0
29460339341,10627355233,1,completed,success,"Build, Test and Deploy",2024-08-30 05:27:31,2024-08-30 05:28:12,build (python),41.0,0,0
29460339472,10627355233,1,completed,success,"Build, Test and Deploy",2024-08-30 05:27:31,2024-08-30 05:29:26,build (java),115.0,0,0
29458986579,10626831431,1,completed,success,"Build, Test and Deploy",2024-08-30 04:28:57,2024-08-30 04:29:33,build (golang),36.0,0,0
29458986739,10626831431,1,completed,success,"Build, Test and Deploy",2024-08-30 04:28:57,2024-08-30 04:29:39,build (python),42.0,0,0
29458986909,10626831431,1,completed,success,"Build, Test and Deploy",2024-08-30 04:28:58,2024-08-30 04:30:57,build (java),119.0,0,0
29457665487,10626321437,1,completed,success,"Build, Test and Deploy",2024-08-30 03:27:06,2024-08-30 03:27:34,build (golang),28.0,0,0
29457665606,10626321437,1,completed,success,"Build, Test and Deploy",2024-08-30 03:27:06,2024-08-30 03:27:41,build (python),35.0,0,0
29457665734,10626321437,1,completed,success,"Build, Test and Deploy",2024-08-30 03:27:06,2024-08-30 03:28:58,build (java),112.0,0,0
29456772188,10625965374,1,completed,success,"Build, Test and Deploy",2024-08-30 02:47:47,2024-08-30 02:48:19,build (golang),32.0,0,0
29456772352,10625965374,1,completed,success,"Build, Test and Deploy",2024-08-30 02:47:47,2024-08-30 02:48:27,build (python),40.0,0,0
29456772510,10625965374,1,completed,success,"Build, Test and Deploy",2024-08-30 02:47:47,2024-08-30 02:49:38,build (java),111.0,0,0
29455275260,10625393963,1,completed,success,"Build, Test and Deploy",2024-08-30 01:45:31,2024-08-30 01:46:02,build (golang),31.0,0,0
29455275357,10625393963,1,completed,success,"Build, Test and Deploy",2024-08-30 01:45:32,2024-08-30 01:46:11,build (python),39.0,0,0
29455275477,10625393963,1,completed,success,"Build, Test and Deploy",2024-08-30 01:45:32,2024-08-30 01:47:24,build (java),112.0,0,0
29451707010,10624073958,1,completed,success,"Build, Test and Deploy",2024-08-29 23:23:44,2024-08-29 23:24:19,build (golang),35.0,0,0
29451707161,10624073958,1,completed,success,"Build, Test and Deploy",2024-08-29 23:23:44,2024-08-29 23:24:27,build (python),43.0,0,0
29451707349,10624073958,1,completed,success,"Build, Test and Deploy",2024-08-29 23:23:43,2024-08-29 23:25:41,build (java),118.0,0,0
29450148024,10623540000,1,completed,success,"Build, Test and Deploy",2024-08-29 22:28:05,2024-08-29 22:28:41,build (golang),36.0,0,0
29450148394,10623540000,1,completed,success,"Build, Test and Deploy",2024-08-29 22:28:04,2024-08-29 22:28:49,build (python),45.0,0,0
29450148648,10623540000,1,completed,success,"Build, Test and Deploy",2024-08-29 22:28:06,2024-08-29 22:30:08,build (java),122.0,0,0
29447986778,10622836875,1,completed,success,"Build, Test and Deploy",2024-08-29 21:23:34,2024-08-29 21:24:08,build (golang),34.0,0,0
29447987097,10622836875,1,completed,success,"Build, Test and Deploy",2024-08-29 21:23:34,2024-08-29 21:24:14,build (python),40.0,0,0
